original english paragraphs,deepl paragraphs,google paragraphs,human-translated paragraphs
"no one would have believed in the last years of the nineteenth century
that this world was being watched keenly and closely by intelligences
greater than man’s and yet as mortal as his own; that as men busied
themselves about their various concerns they were scrutinised and
studied, perhaps almost as narrowly as a man with a microscope might
scrutinise the transient creatures that swarm and multiply in a drop of
water. with infinite complacency men went to and fro over this globe
about their little affairs, serene in their assurance of their empire
over matter. it is possible that the infusoria under the microscope do
the same. no one gave a thought to the older worlds of space as sources
of human danger, or thought of them only to dismiss the idea of life
upon them as impossible or improbable. it is curious to recall some of
the mental habits of those departed days. at most terrestrial men
fancied there might be other men upon mars, perhaps inferior to
themselves and ready to welcome a missionary enterprise. yet across the
gulf of space, minds that are to our minds as ours are to those of the
beasts that perish, intellects vast and cool and unsympathetic,
regarded this earth with envious eyes, and slowly and surely drew their
plans against us. and early in the twentieth century came the great
disillusionment.","personne n'aurait cru, dans les dernières années du XIXe siècle, que ce monde était surveillé de près par des intelligences.
que ce monde était observé de près par des intelligences plus grandes que l'homme et pourtant aussi mortelles que la sienne.
plus grandes que l'homme et pourtant aussi mortelles que lui ; que les hommes, occupés à leurs
leurs diverses préoccupations, ils étaient scrutés et étudiés, peut-être
étudiés, peut-être presque aussi étroitement qu'un homme muni d'un microscope pourrait
de l'homme au microscope les créatures éphémères qui grouillent et se multiplient dans une goutte d'eau.
avec une infinie complaisance, les hommes allaient et venaient sur ce globe pour
leurs petites affaires, sereins dans l'assurance de leur empire sur la matière.
Il est possible que les infusoires observés au microscope fassent de même.
de l'espace en tant que sources de danger pour l'homme, ni n'y a pensé.
de l'espace comme sources de danger pour l'homme, ou n'y a pensé que pour y rejeter l'idée de la vie
de la vie sur ces mondes comme impossible ou improbable.
de l'homme, de la femme, de l'homme, de la femme, de la femme, de la femme, de la femme, de la femme, de la femme, de la femme, de la femme
terrestres s'imaginaient qu'il pouvait y avoir d'autres hommes sur Mars, peut-être inférieurs à eux et prêts à accueillir un missionnaire.
inférieurs à eux et prêts à accueillir une entreprise missionnaire. pourtant, de l'autre côté du gouffre de l'espace, des esprits
de l'espace, des esprits qui sont à nos esprits ce que les nôtres sont à ceux des bêtes qui périssent.
Les hommes de l'autre côté du gouffre de l'espace, des esprits qui sont à nos esprits ce que les nôtres sont à ceux des bêtes qui périssent, des intelligences vastes, froides et antipathiques,
regardaient cette terre avec des yeux envieux, et lentement et sûrement dessinaient leurs
et au début du vingtième siècle vint la grande désillusion.
désillusion.","personne n'y aurait cru dans les dernières années du XIXe siècle
que ce monde était surveillé attentivement et étroitement par les intelligences
plus grand que celui de l’homme et pourtant aussi mortel que le sien ; que pendant que les hommes étaient occupés
eux-mêmes sur leurs diverses préoccupations, ils ont été scrutés et
étudié, peut-être presque aussi étroitement qu'un homme avec un microscope pourrait le faire
scrutez les créatures éphémères qui pullulent et se multiplient dans une goutte de
eau. avec une complaisance infinie, les hommes allaient et venaient sur ce globe
sur leurs petites affaires, sereins dans l'assurance de leur empire
sur la matière. il est possible que les infusoires au microscope fassent
le même. personne n'a pensé aux anciens mondes spatiaux comme sources
du danger humain, ou n'y ont pensé que pour rejeter l'idée de la vie
sur eux comme impossible ou improbable. il est curieux de rappeler quelques-uns
les habitudes mentales de ces jours passés. au plus des hommes terrestres
j'imaginais qu'il pourrait y avoir d'autres hommes sur Mars, peut-être inférieurs à
eux-mêmes et prêts à accueillir une entreprise missionnaire. pourtant à travers le
golfe de l'espace, des esprits qui sont à nos esprits ce que les nôtres sont à ceux des
des bêtes qui périssent, des intellects vastes, froids et antipathiques,
regardaient cette terre avec des yeux envieux et tiraient lentement et sûrement leur
des plans contre nous. et au début du XXe siècle vint le grand
désillusion.","personne n’aurait cru, dans les dernières années du dix-neuvième siècle,
que les choses humaines fussent observées, de la façon la plus
pénétrante et la plus attentive, par des intelligences supérieures aux
intelligences humaines et cependant mortelles comme elles; que tandis
que les hommes s’absorbaient dans leurs occupations, ils étaient
examinés et étudiés d’aussi près peut-être qu’un savant peut étudier
avec un microscope les créatures transitoires qui pullulent et se
multiplient dans une goutte d’eau. avec une suffisance infinie, les
hommes allaient de ci de là par le monde, vaquant à leurs petites
affaires, dans la sereine sécurité de leur empire sur la matière. il est
possible que, sous le microscope, les infusoires fassent de même.
personne ne donnait une pensée aux mondes plus anciens de l’espace comme
sources de danger pour l’existence terrestre, ni ne songeait seulement à
eux pour écarter l’idée de vie à leur surface comme impossible ou
improbable. il est curieux de se rappeler maintenant les habitudes
mentales de ces jours lointains. tout au plus les habitants de la terre
s’imaginaient-ils qu’il pouvait y avoir sur la planète mars des êtres
probablement inférieurs à eux, et disposés à faire bon accueil à une
expédition missionnaire. cependant, par delà le gouffre de l’espace, des
esprits qui sont à nos esprits ce que les nôtres sont à ceux des bêtes
qui périssent, des intellects vastes, calmes et impitoyables,
considéraient cette terre avec des yeux envieux, dressaient lentement
et sûrement leurs plans pour la conquête de notre monde. et dans les
premières années du vingtième siècle vint la grande désillusion."
"the planet mars, i scarcely need remind the reader, revolves about the
sun at a mean distance of 140,000,000 miles, and the light and heat it
receives from the sun is barely half of that received by this world. it
must be, if the nebular hypothesis has any truth, older than our world;
and long before this earth ceased to be molten, life upon its surface
must have begun its course. the fact that it is scarcely one seventh of
the volume of the earth must have accelerated its cooling to the
temperature at which life could begin. it has air and water and all
that is necessary for the support of animated existence.","la planète mars, je n'ai pas besoin de le rappeler, tourne autour du soleil à une distance moyenne de 140 000 000 de kilomètres.
soleil à une distance moyenne de 140 000 000 milles, et la lumière et la chaleur qu'elle reçoit du soleil sont à peine la moitié de celles que reçoit ce monde.
de la lumière et de la chaleur qu'elle reçoit du soleil est à peine la moitié de celle que reçoit ce monde.
doit être, si l'hypothèse nébulaire est fondée, plus ancienne que notre monde ;
et bien avant que cette terre ait cessé d'être en fusion, la vie à sa surface a dû commencer.
de la vie sur sa surface a du commencer son cours. le fait qu'elle soit a peine un septième du volume de la terre a du
de la terre a du accelerer son refroidissement jusqu'a la temperature a laquelle la vie pouvait commencer.
température à laquelle la vie pouvait commencer. il y a de l'air et de l'eau, et tout ce qui est nécessaire au maintien de la vie.
l'air, l'eau et tout ce qui est nécessaire au maintien de l'existence animée.","la planète Mars, je n'ai pas besoin de le rappeler au lecteur, tourne autour du
soleil à une distance moyenne de 140 000 000 de milles, et la lumière et la chaleur le
ce que reçoit du soleil est à peine la moitié de ce que reçoit ce monde. il
doit être, si l’hypothèse nébulaire a une quelconque vérité, plus ancienne que notre monde ;
et bien avant que cette terre ne cesse d'être en fusion, la vie à sa surface
doit avoir commencé son cours. le fait qu'il s'agit à peine d'un septième de
le volume de la Terre a dû accélérer son refroidissement jusqu'à
température à laquelle la vie pourrait commencer. il y a de l'air et de l'eau et tout
cela est nécessaire au soutien d’une existence animée.","la planète mars, est-il besoin de le rappeler au lecteur, tourne autour
du soleil à une distance moyenne de deux cent vingt-cinq millions de
kilomètres, et la lumière et la chaleur qu’elle reçoit du soleil sont
tout juste la moitié de ce que reçoit notre sphère. si l’hypothèse des
nébuleuses a quelque vérité, la planète mars doit être plus vieille que
la nôtre, et longtemps avant que cette terre se soit solidifiée, la vie
à sa surface dut commencer son cours. le fait que son volume est à peine
un septième de celui de la terre doit avoir accéléré son refroidissement
jusqu’à la température où la vie peut naître. elle a de l’air et de
l’eau et tout ce qui est nécessaire aux existences animées."
"yet so vain is man, and so blinded by his vanity, that no writer, up to
the very end of the nineteenth century, expressed any idea that
intelligent life might have developed there far, or indeed at all,
beyond its earthly level. nor was it generally understood that since
mars is older than our earth, with scarcely a quarter of the
superficial area and remoter from the sun, it necessarily follows that
it is not only more distant from time’s beginning but nearer its end.","Mais l'homme est si vaniteux, et si aveuglé par sa vanité, qu'aucun écrivain, jusqu'à la fin du dix-neuvième siècle, n'a exprimé l'idée d'une
de la fin du dix-neuvième siècle, n'a exprimé l'idée qu'une
qu'une vie intelligente ait pu s'y développer bien au-delà de son niveau terrestre,
au-delà de son niveau terrestre. Il n'a pas non plus été généralement compris que, puisque Mars est plus ancienne que notre terre, la vie intelligente pourrait s'y être développée bien au-delà.
Mars est plus ancienne que la Terre, avec à peine un quart de sa surface et plus éloignée de l'atmosphère.
surface et plus éloignée du soleil, il s'ensuit nécessairement qu'elle est non seulement plus éloignée dans le temps, mais aussi plus éloignée de la terre.
qu'elle est non seulement plus éloignée du début du temps, mais aussi plus proche de sa fin.","pourtant l'homme est si vaniteux et si aveuglé par sa vanité qu'aucun écrivain, jusqu'à
à la toute fin du XIXe siècle, exprimait l'idée que
la vie intelligente aurait pu s'y être développée jusqu'à présent, voire pas du tout,
au-delà de son niveau terrestre. il n'était pas non plus généralement entendu que depuis
Mars est plus ancienne que notre Terre, avec à peine un quart de sa
superficielle et plus éloignée du soleil, il s'ensuit nécessairement que
il est non seulement plus éloigné du début du temps, mais plus proche de sa fin.","pourtant l’homme est si vain et si aveuglé par sa vanité que jusqu’à la
fin même du dix-neuvième siècle, aucun écrivain n’exprima l’idée que
là-bas la vie intelligente, s’il en était une, avait pu se développer
bien au delà des proportions humaines. peu de gens même savaient que,
puisque mars est plus vieux que notre terre, avec à peine un quart de sa
superficie et à une plus grande distance du soleil, il s’ensuit
naturellement que cette planète est non seulement plus éloignée du
commencement de la vie, mais aussi plus près de sa fin."
"the secular cooling that must someday overtake our planet has already
gone far indeed with our neighbour. its physical condition is still
largely a mystery, but we know now that even in its equatorial region
the midday temperature barely approaches that of our coldest winter.
its air is much more attenuated than ours, its oceans have shrunk until
they cover but a third of its surface, and as its slow seasons change
huge snowcaps gather and melt about either pole and periodically
inundate its temperate zones. that last stage of exhaustion, which to
us is still incredibly remote, has become a present-day problem for the
inhabitants of mars. the immediate pressure of necessity has brightened
their intellects, enlarged their powers, and hardened their hearts. and
looking across space with instruments, and intelligences such as we
have scarcely dreamed of, they see, at its nearest distance only
35,000,000 of miles sunward of them, a morning star of hope, our own
warmer planet, green with vegetation and grey with water, with a cloudy
atmosphere eloquent of fertility, with glimpses through its drifting
cloud wisps of broad stretches of populous country and narrow,
navy-crowded seas.","le refroidissement séculaire qui doit un jour s'abattre sur notre planète est déjà bien avancé chez notre voisine.
sa condition physique est encore largement un mystère, mais nous savons maintenant que même dans la région équatoriale de la planète, le refroidissement séculaire n'a pas encore eu lieu.
mais nous savons maintenant que, même dans sa région équatoriale, la température de midi
la température à midi approche à peine celle de notre hiver le plus froid.
Son air est beaucoup plus atténué que le nôtre, ses océans ont rétréci au point de ne couvrir qu'un tiers de sa surface.
jusqu'à ne plus couvrir qu'un tiers de sa surface, et au fur et à mesure que les saisons changent, d'immenses calottes de neige s'accumulent et fondent.
de neige s'accumulent et fondent autour des deux pôles et inondent périodiquement les
périodiquement ses zones tempérées. ce dernier stade d'épuisement, qui pour nous est encore
d'épuisement, qui pour nous est encore incroyablement lointain, est devenu un problème actuel pour les habitants de Mars.
la pression immédiate de la nécessité a éclairé leur intelligence, élargi
leur intelligence, élargi leurs pouvoirs et endurci leurs coeurs.
en regardant à travers l'espace avec des instruments et des intelligences telles que nous
que nous avons à peine rêvé, ils voient, à sa plus proche distance seulement
35.000.000 de miles en direction du soleil, une étoile du matin pleine d'espoir, notre propre
planète plus chaude, verte de végétation et grise d'eau, avec une atmosphère nuageuse
nuageuse éloquente de fertilité, laissant entrevoir, à travers ses nuages à la
de vastes étendues de pays peuplés et d'étroites mers encombrées de marines,
étroites et encombrées de marines.","le refroidissement séculaire qui doit un jour s'abattre sur notre planète a déjà
nous sommes allés bien loin avec notre voisin. sa condition physique est toujours
en grande partie un mystère, mais nous savons maintenant que même dans sa région équatoriale
la température de midi approche à peine celle de notre hiver le plus froid.
son air est bien plus atténué que le nôtre, ses océans ont rétréci jusqu'à
ils ne couvrent qu'un tiers de sa surface, et à mesure que ses saisons lentes changent
d'énormes calottes neigeuses se rassemblent et fondent autour de chaque pôle et périodiquement
inonder ses zones tempérées. cette dernière étape d'épuisement, qui
nous sommes encore incroyablement éloignés, est devenu un problème actuel pour le
habitants de Mars. la pression immédiate de la nécessité s'est atténuée
leur intellect, élargit leurs pouvoirs et endurcit leur cœur. et
regarder à travers l'espace avec des instruments et des intelligences telles que nous
ont à peine rêvé, voient-ils, à sa plus proche distance seulement
35 000 000 de milles au soleil d'eux, une étoile du matin d'espoir, la nôtre
planète plus chaude, verte avec la végétation et grise avec l'eau, avec un temps nuageux
atmosphère éloquente de fertilité, avec des aperçus à travers ses dérives
des volutes de nuages ​​de vastes étendues de pays peuplés et étroites,
mers bondées par la marine.","le refroidissement séculaire qui doit quelque jour atteindre notre
planète est déjà fort avancé chez notre voisin. ses conditions physiques
sont encore largement un mystère; mais dès maintenant nous savons que,
même dans sa région équatoriale, la température de midi atteint à peine
celle de nos plus froids hivers. son atmosphère est plus atténuée que la
nôtre, ses océans se sont resserrés jusqu’à ne plus couvrir qu’un tiers
de sa surface et, suivant le cours de ses lentes saisons, de vastes amas
de glace et de neige s’amoncellent et fondent à chacun de ses pôles,
inondant périodiquement ses zones tempérées. ce suprême état
d’épuisement, qui est encore pour nous incroyablement lointain, est
devenu pour les habitants de mars un problème vital. la pression
immédiate de la nécessité a stimulé leurs intelligences, développé leurs
facultés et endurci leurs cœurs. regardant à travers l’espace au moyen
d’instruments et avec des intelligences tels que nous pouvons à peine
les rêver, ils voient à sa plus proche distance, à cinquante-cinq
millions de kilomètres d’eux vers le soleil, un matinal astre d’espoir,
notre propre planète, plus chaude, aux végétations vertes et aux eaux
grises, avec une atmosphère nuageuse éloquente de fertilité, et, à
travers les déchirures de ses nuages, des aperçus de vastes contrées
populeuses et de mers étroites sillonnées de navires."
"and we men, the creatures who inhabit this earth, must be to them at
least as alien and lowly as are the monkeys and lemurs to us. the
intellectual side of man already admits that life is an incessant
struggle for existence, and it would seem that this too is the belief
of the minds upon mars. their world is far gone in its cooling and this
world is still crowded with life, but crowded only with what they
regard as inferior animals. to carry warfare sunward is, indeed, their
only escape from the destruction that, generation after generation,
creeps upon them.","et nous, les hommes, les créatures qui habitent cette terre, devons être pour eux au moins aussi étrangers et humbles que le sont pour nous les singes et les lémuriens.
de l'homme, les créatures qui habitent cette terre, doivent être pour eux au moins aussi étrangers et humbles que le sont pour nous les singes et les lémuriens.
L'aspect intellectuel de l'homme admet déjà que la vie est une
de la vie est une lutte incessante pour l'existence, et il semblerait que ce soit aussi la croyance des esprits sur Mars.
de l'homme admet déjà que la vie est une lutte incessante pour l'existence, et il semblerait que ce soit aussi la croyance des esprits sur Mars.
de la vie, mais de ce qu'ils considèrent comme des animaux inférieurs.
de ce qu'ils considèrent comme des animaux inférieurs.
leur seul moyen d'échapper à la destruction qui, génération après génération, s'abat sur eux,
s'abat sur eux.","et nous, les hommes, les créatures qui habitent cette terre, devons être pour eux au
au moins aussi étranger et humble que le sont pour nous les singes et les lémuriens. le
Le côté intellectuel de l'homme admet déjà que la vie est un processus incessant
lutte pour l'existence, et il semblerait que ce soit aussi la croyance
des esprits sur mars. leur monde est bien loin de son refroidissement et ceci
le monde est encore rempli de vie, mais rempli seulement de ce qu'elles
considérés comme des animaux inférieurs. mener la guerre vers le soleil est, en effet, leur
échapper seulement à la destruction qui, génération après génération,
s'insinue sur eux.","nous, les hommes, créatures qui habitons cette terre, nous devons être,
pour eux du moins, aussi étrangers et misérables que le sont pour nous
les singes et les lémuriens. déjà, la partie intellectuelle de
l’humanité admet que la vie est une incessante lutte pour l’existence et
il semble que ce soit aussi la croyance des esprits dans mars. leur
monde est très avancé vers son refroidissement, et ce monde-ci est
encore encombré de vie, mais encombré seulement de ce qu’ils
considèrent, eux, comme des animaux inférieurs. en vérité, leur seul
moyen d’échapper à la destruction qui, génération après génération, se
glisse lentement vers eux, est de s’emparer, pour pouvoir y vivre, d’un
astre plus rapproché du soleil."
"and before we judge of them too harshly we must remember what ruthless
and utter destruction our own species has wrought, not only upon
animals, such as the vanished bison and the dodo, but upon its inferior
races. the tasmanians, in spite of their human likeness, were entirely
swept out of existence in a war of extermination waged by european
immigrants, in the space of fifty years. are we such apostles of mercy
as to complain if the martians warred in the same spirit?","et avant de les juger trop sévèrement, nous devons nous souvenir de la destruction impitoyable et totale que notre propre espèce a causée, non seulement à l'homme, mais aussi à l'environnement.
et totale destruction de notre propre espèce, non seulement sur des animaux
de l'homme, et de l'animal, comme le bison et le dodo disparus, mais sur ses races inférieures.
les tasmaniens, en dépit de leur ressemblance avec l'homme, ont été entièrement
d'extermination menée par les immigrants européens, en l'espace de cinquante ans.
européens, en l'espace de cinquante ans. sommes-nous des apôtres de la miséricorde au point de nous
pour nous plaindre si les martiens faisaient la guerre dans le même esprit ?","et avant de les juger trop sévèrement, nous devons nous rappeler à quel point ils sont impitoyables.
et la destruction totale que notre propre espèce a provoquée, non seulement sur
animaux, tels que le bison disparu et le dodo, mais sur ses espèces inférieures
courses. les Tasmaniens, malgré leur ressemblance humaine, étaient entièrement
balayé par une guerre d'extermination menée par les Européens
immigrants, en l'espace de cinquante ans. sommes-nous de tels apôtres de la miséricorde
comme se plaindre si les martiens faisaient la guerre dans le même esprit ?","avant de les juger trop sévèrement, il faut nous remettre en mémoire
quelles entières et barbares destructions furent accomplies par notre
propre race, non seulement sur des espèces animales, comme le bison et
le dodo, mais sur les races humaines inférieures. les tasmaniens, en
dépit de leur conformation humaine, furent en l’espace de cinquante ans
entièrement balayés du monde dans une guerre d’extermination engagée par
des immigrants européens. sommes-nous de tels apôtres de miséricorde que
nous puissions nous plaindre de ce que les marsiens aient fait la guerre
dans ce même esprit?"
"the martians seem to have calculated their descent with amazing
subtlety—their mathematical learning is evidently far in excess of
ours—and to have carried out their preparations with a well-nigh
perfect unanimity. had our instruments permitted it, we might have seen
the gathering trouble far back in the nineteenth century. men like
schiaparelli watched the red planet—it is odd, by-the-bye, that for
countless centuries mars has been the star of war—but failed to
interpret the fluctuating appearances of the markings they mapped so
well. all that time the martians must have been getting ready.","les martiens semblent avoir calculé leur descente avec une étonnante
avec une subtilité étonnante - leur savoir mathématique est manifestement bien supérieur au nôtre - et
et avoir exécuté leurs préparatifs avec une unanimité presque parfaite.
Si nos instruments l'avaient permis, nous aurions pu voir la
les troubles qui s'annoncent dès le XIXe siècle. des hommes comme schiaparelli
schiaparelli ont observé la planète rouge - il est d'ailleurs étrange que, pendant d'innombrables
siècles, Mars a été l'étoile de la guerre, mais ils n'ont pas su interpréter les
mais n'ont pas su interpréter les fluctuations des marques qu'ils avaient si bien cartographiées.
Pendant tout ce temps, les martiens ont dû se préparer.","les martiens semblent avoir calculé leur descente avec une étonnante
subtilité - leur apprentissage mathématique est évidemment bien au-delà de
le nôtre - et d'avoir effectué leurs préparatifs avec une bonne proximité
parfaite unanimité. si nos instruments l'avaient permis, nous aurions pu voir
les troubles se sont accumulés dès le XIXe siècle. les hommes aiment
Schiaparelli a observé la planète rouge - il est étrange, d'ailleurs, que pendant
pendant d'innombrables siècles, Mars a été la star de la guerre, mais n'a pas réussi à le faire.
interpréter les apparences fluctuantes des marques qu'ils ont cartographiées de manière à
Bien. pendant tout ce temps, les martiens devaient se préparer.","les marsiens semblent avoir calculé leur descente avec une sûre et
étonnante subtilité leur science mathématique étant évidemment bien
supérieure à la nôtre et avoir mené leurs préparatifs à bonne fin avec
une presque parfaite unanimité. si nos instruments l’avaient permis, on
aurait pu, longtemps avant la fin du dix-neuvième siècle, apercevoir des
signes des prochaines perturbations. des hommes comme schiaparelli
observèrent la planète rouge, il est curieux, soit dit en passant, que,
pendant d’innombrables siècles, mars ait été l’étoile de la
guerre, mais ne surent pas interpréter les fluctuations apparentes des
phénomènes qu’ils enregistraient si exactement. pendant tout ce temps
les marsiens se préparaient."
"during the opposition of 1894 a great light was seen on the illuminated
part of the disk, first at the lick observatory, then by perrotin of
nice, and then by other observers. english readers heard of it first in
the issue of _nature_ dated august 2. i am inclined to think that this
blaze may have been the casting of the huge gun, in the vast pit sunk
into their planet, from which their shots were fired at us. peculiar
markings, as yet unexplained, were seen near the site of that outbreak
during the next two oppositions.","pendant l'opposition de 1894, une grande lumiere a ete observee sur la partie
de la partie illuminée du disque, d'abord à l'observatoire de Lick, puis par Perrotin de Nice, et enfin par d'autres observateurs.
de Nice, puis par d'autres observateurs. les lecteurs anglais en ont entendu parler pour la premiere fois dans le numero de _nature_ du 2 aout.
dans le numéro de _nature_ daté du 2 août. je suis enclin à penser que cette
de l'homme, de la femme, de l'homme, de l'homme, de l'homme, de l'homme, de l'homme, de l'homme, de l'homme, de l'homme
dans leur planète, d'où ils nous tiraient des coups de feu.
des marques particulières, encore inexpliquées, ont été aperçues près du site de cette flambée
pendant les deux oppositions suivantes.","lors de l'opposition de 1894, une grande lumière fut vue sur la place illuminée
partie du disque, d'abord à l'observatoire lick, puis par perrotin de
sympa, puis par d'autres observateurs. les lecteurs anglais en ont entendu parler pour la première fois en
le numéro de _nature_ du 2 août. j'ai tendance à penser que cela
l'incendie a peut-être été le lancement de l'énorme canon, dans la vaste fosse creusée
sur leur planète, d'où leurs tirs ont été tirés sur nous. particulier
des marques, encore inexpliquées, ont été observées près du site de cette épidémie
lors des deux prochaines oppositions.","a l’opposition de 1894, une grande lueur fut aperçue, sur la partie
éclairée du disque, d’abord par l’observatoire de lick, puis par
perrotin de nice et d’autres observateurs. je ne suis pas loin de penser
que ce phénomène inaccoutumé n’ait eu pour cause la fonte de l’immense
canon, trou énorme creusé dans leur planète, au moyen duquel ils nous
envoyèrent leurs projectiles. des signes particuliers, qu’on ne sut
expliquer, furent observés lors des deux oppositions suivantes, près de
l’endroit où la lueur s’était produite."
"the storm burst upon us six years ago now. as mars approached
opposition, lavelle of java set the wires of the astronomical exchange
palpitating with the amazing intelligence of a huge outbreak of
incandescent gas upon the planet. it had occurred towards midnight of
the twelfth; and the spectroscope, to which he had at once resorted,
indicated a mass of flaming gas, chiefly hydrogen, moving with an
enormous velocity towards this earth. this jet of fire had become
invisible about a quarter past twelve. he compared it to a colossal
puff of flame suddenly and violently squirted out of the planet, as
flaming gases rushed out of a gun.","la tempête a éclaté il y a six ans maintenant. alors que mars approchait de l'opposition, lavelle de java a mis en place les fils de la bourse astronomique.
de l'opposition de Mars, Lavelle de Java a fait palpiter les fils de la bourse astronomique
de l'astronomie avec l'information surprenante d'une énorme flambée de
de gaz incandescent sur la planete. cela s'etait produit vers minuit le douze
le douzième ; et le spectroscope, auquel il avait immédiatement recouru, indiquait une masse de gaz enflammés,
indiquait une masse de gaz enflammés, principalement de l'hydrogène, qui se
vitesse énorme vers cette terre. ce jet de feu était devenu invisible vers midi et quart.
invisible vers midi et quart. il le comparait à une colossale bouffée de flamme
colossale bouffée de flamme jaillissant soudainement et violemment de la planète, comme des gaz enflammés jaillissent d'un avion.
comme des gaz enflammés jaillissent d'un canon.","la tempête a éclaté sur nous il y a maintenant six ans. à l'approche de mars
opposition, lavelle de java a mis les fils de l'échange astronomique
palpitant avec l’étonnante intelligence d’une immense explosion de
gaz incandescent sur la planète. cela s'est produit vers minuit du
le douzième ; et le spectroscope, auquel il avait aussitôt eu recours,
indiquait une masse de gaz enflammé, principalement de l'hydrogène, se déplaçant avec un
une énorme vitesse vers cette terre. ce jet de feu était devenu
invisible vers midi et quart. il l'a comparé à un colossal
Une bouffée de flammes jaillit soudainement et violemment de la planète, alors que
des gaz enflammés s'échappèrent d'une arme à feu.","il y a six ans maintenant que le cataclysme s’est abattu sur nous. comme
la planète mars approchait de l’opposition, lavelle, de java, fit
palpiter tout à coup les fils transmetteurs des communications
astronomiques, avec l’extraordinaire nouvelle d’une immense explosion de
gaz incandescent dans la planète observée. le fait s’était produit vers
minuit et le spectroscope, auquel il eut immédiatement recours, indiqua
une masse de gaz enflammés, principalement de l’hydrogène, s’avançant
avec une vélocité énorme vers la terre. ce jet de feu devint invisible
un quart d’heure après minuit environ. il le compara à une colossale
bouffée de flamme, soudainement et violemment jaillie de la planète
“comme les gaz enflammés se précipitent hors de la gueule d’un canon”."
"a singularly appropriate phrase it proved. yet the next day there was
nothing of this in the papers except a little note in the _daily
telegraph_, and the world went in ignorance of one of the gravest
dangers that ever threatened the human race. i might not have heard of
the eruption at all had i not met ogilvy, the well-known astronomer, at
ottershaw. he was immensely excited at the news, and in the excess of
his feelings invited me up to take a turn with him that night in a
scrutiny of the red planet.","de l'histoire de l'art, de l'histoire de la culture, de l'histoire de l'art, de l'histoire de l'art.
de l'histoire de la France, de l'histoire de la France, de l'histoire de l'Europe
de l'histoire de l'art, de l'histoire de la culture, de l'histoire de l'art.
de l'histoire de la France, de la France et de l'Europe, de la France et de l'Europe, de la France et de l'Europe.
de l'éruption si je n'avais pas rencontré ogilvy, le célèbre astronome, à ottershaw.
Il était immensément excité par la nouvelle et, dans l'excès de ses sentiments, il m'invita à prendre une photo de l'éruption.
et, dans l'exagération de ses sentiments, m'invita à l'accompagner ce soir-là dans l'examen de la planète rouge.
l'examen de la planete rouge.","une phrase singulièrement appropriée, cela s’est avéré. pourtant le lendemain il y avait
rien de tout cela dans les journaux sauf une petite note dans le quotidien
télégraphe_, et le monde est resté dans l'ignorance de l'un des problèmes les plus graves
dangers qui ont toujours menacé la race humaine. je n'en ai peut-être pas entendu parler
l'éruption si je n'avais pas rencontré Ogilvy, le célèbre astronome, à
loutre. il était extrêmement excité par la nouvelle, et dans l'excès de
ses sentiments m'ont invité à faire un tour avec lui ce soir-là dans un
examen minutieux de la planète rouge.","la phrase se trouvait être singulièrement appropriée. cependant, rien de
relatif à ce fait ne parut dans les journaux du lendemain, sauf une
brève note dans le “daily telegraph” et le monde demeura dans
l’ignorance d’un des plus graves dangers qui aient jamais menacé la race
humaine. j’aurais très bien pu ne rien savoir de cette éruption si je
n’avais, à ottershaw, rencontré ogilvy, l’astronome bien connu. cette
nouvelle l’avait jeté dans une extrême agitation, et, dans l’excès de
son émotion, il m’invita à venir cette nuit-là observer avec lui la
planète rouge."
